Throughput N=1 N=2 N=3 N=4 N=5
0.4 0.0792079 0.412281 0.739726 1.01786 1.31313
0.5 0.0847458 0.391608 0.739726 0.963235 1.31313
0.6 0.0797546 0.38125 0.739726 0.96 1.25503
0.7 0.078125 0.379888 0.731429 0.933702 1.25503
0.8 0.078125 0.378109 0.728571 0.949749 1.25503
0.9 0.079646 0.373333 0.728571 0.933333 1.22422
1 0.0789474 0.361111 0.702381 0.92803 1.22422
1.1 0.0789474 0.361702 0.702381 0.917526 1.22422
1.2 0.0833333 0.352381 0.701987 0.928125 1.22422
1.3 0.0833333 0.345609 0.701987 0.914773 1.1982
1.4 0.0815217 0.345609 0.692521 0.914773 1.1982
1.5 0.0815217 0.35101 0.692521 0.912145 1.1982
1.6 0.0815217 0.35101 0.692521 0.896226 1.1982
1.7 0.0787037 0.343115 0.675115 0.895075 1.1982
1.9 0.0805501 0.352823 0.675115 0.895075 1.16667
2 0.0805501 0.352823 0.65896 0.889105 1.16667
2.1 0.0805501 0.356757 0.65896 0.889105 1.14029
2.2 0.0805501 0.356757 0.65896 0.879433 1.14029
2.3 0.0785953 0.356757 0.65896 0.879433 1.14029
2.4 0.0785953 0.356913 0.65008 0.877617 1.14029
2.5 0.0785953 0.356913 0.65008 0.877617 1.14264
2.6 0.0785953 0.356913 0.65008 0.878299 1.14264
2.7 0.0767045 0.345768 0.65008 0.878299 1.14264
2.8 0.0767045 0.345768 0.635389 0.878299 1.14264
2.9 0.0767045 0.345768 0.635389 0.866667 1.14264
3 0.0767045 0.346598 0.638462 0.866667 1.14264
3.1 0.0767045 0.346598 0.638462 0.851942 1.12015
3.2 0.0785024 0.346598 0.638462 0.851942 1.12015
3.3 0.0785024 0.34289 0.638462 0.861714 1.12015
3.5 0.0785024 0.34289 0.638462 0.858875 1.12015
3.7 0.0811088 0.340839 0.638462 0.858875 1.1074
3.8 0.0811088 0.340839 0.638462 0.84654 1.1074
4.2 0.0811088 0.339433 0.638462 0.846575 1.1074
4.4 0.0820244 0.339433 0.638462 0.846575 1.10009
4.5 0.0820244 0.339433 0.609923 0.846575 1.10009
4.6 0.0820244 0.339433 0.609923 0.847176 1.10009
4.7 0.0820244 0.335784 0.609923 0.847176 1.10009
5 0.0820244 0.335784 0.609923 0.838931 1.10009
5.1 0.0808006 0.335784 0.609923 0.834592 1.10009
5.2 0.0808006 0.340876 0.609923 0.834592 1.10009
5.3 0.0808006 0.340876 0.609923 0.834592 1.10232
5.6 0.0808006 0.340876 0.609923 0.837912 1.08282
5.9 0.0808006 0.339635 0.609923 0.837912 1.08786
5.9 0.0808006 0.339635 0.609923 0.837912 1.08786
6.1 0.0806553 0.339635 0.609923 0.830731 1.08786
6.3 0.0806553 0.339635 0.609923 0.830731 1.09069
6.6 0.0806553 0.330035 0.609923 0.830731 1.08525
6.7 0.0806553 0.330035 0.595429 0.828977 1.08525
7 0.0806553 0.330035 0.595429 0.828977 1.08696
7.1 0.0808784 0.330035 0.595429 0.828977 1.08696
7.3 0.0808784 0.334027 0.595429 0.828977 1.08696
7.4 0.0808784 0.334536 0.595429 0.821373 1.08261
7.5 0.0808784 0.334536 0.595429 0.829939 1.08261
7.6 0.0808784 0.334536 0.595429 0.829939 1.08367
7.9 0.0808784 0.334536 0.595429 0.829939 1.09144
8.1 0.0808784 0.334536 0.595429 0.827619 1.09144
8.2 0.0808784 0.330079 0.595429 0.827619 1.09144
8.3 0.0808784 0.330079 0.595429 0.827619 1.10964
8.4 0.0791629 0.330079 0.595429 0.827619 1.10964
8.8 0.0791629 0.330079 0.595429 0.827619 1.12807
8.9 0.0791629 0.33147 0.595429 0.826143 1.12807
9.2 0.0791629 0.327522 0.595429 0.826143 1.12807
9.4 0.0791629 0.327522 0.595429 0.82841 1.20592
9.8 0.0791629 0.327522 0.595429 0.840653 1.20592
9.9 0.0796289 0.327522 0.595429 0.840653 1.34269
10 0.0796289 0.327522 0.584223 0.840653 1.34269
10.3 0.0796289 0.328391 0.584223 0.840653 1.50609
10.4 0.0796289 0.328391 0.584223 0.854934 1.50609
10.5 0.0796289 0.328391 0.584223 0.854934 1.55096
10.6 0.0796289 0.325806 0.584223 0.854934 1.55096
10.8 0.0796289 0.325806 0.584223 0.857597 1.55096
11.1 0.0796289 0.325806 0.584223 0.857597 1.72774
11.2 0.0796289 0.325806 0.584223 0.875297 1.72774
11.4 0.0796289 0.325806 0.584223 0.88647 1.83048
11.5 0.0796289 0.329911 0.584223 0.88647 1.83048
11.6 0.0798554 0.329911 0.584223 0.88647 1.83048
11.8 0.0798554 0.329911 0.584223 0.88647 1.93663
11.9 0.0798554 0.329911 0.584223 0.92189 1.93663
12.5 0.0798554 0.329911 0.584223 1.00366 2.12958
12.8 0.0798554 0.328251 0.584223 1.00366 2.12958
12.9 0.0798554 0.326724 0.584223 1.00366 2.12958
13.1 0.0798554 0.326724 0.584223 1.10228 2.12958
13.2 0.0798554 0.326724 0.584223 1.10228 2.25929
13.7 0.0787709 0.326724 0.584223 1.10228 2.34612
13.8 0.0787709 0.326724 0.584223 1.22817 2.34612
14 0.0787709 0.326724 0.584223 1.22817 2.43156
14.3 0.0787709 0.326724 0.584223 1.34637 2.43156
14.4 0.0787709 0.328571 0.584223 1.34637 2.43156
14.9 0.0787709 0.328571 0.584223 1.34637 2.58973
15 0.0787709 0.328571 0.617497 1.34637 2.58973
15.1 0.0787709 0.328571 0.617497 1.43996 2.63179
15.3 0.0787709 0.325193 0.617497 1.43996 2.63179
15.7 0.0787709 0.325193 0.617497 1.43996 2.76327
15.8 0.0787709 0.325193 0.617497 1.51318 2.76327
16.1 0.0794969 0.325845 0.617497 1.51318 2.76327
16.6 0.0794969 0.325845 0.617497 1.68816 2.93448
16.8 0.0794969 0.325845 0.672884 1.70587 2.93448
17.8 0.0794969 0.325845 0.751503 1.70587 2.93448
18 0.0794969 0.330021 0.751503 1.70587 2.93448
18.2 0.0794969 0.330021 0.751503 1.70587 3.19088
18.3 0.0794969 0.330021 0.751503 1.8398 3.19088
18.4 0.0794969 0.332087 0.751503 1.8398 3.19088
18.7 0.0792808 0.332087 0.751503 1.8398 3.19088
18.8 0.0792808 0.332087 0.832421 1.8398 3.19088
18.9 0.0788465 0.332087 0.832421 1.8398 3.19088
19.9 0.0788465 0.332087 0.94301 1.8398 3.19088
20 0.0788465 0.332087 0.94301 1.8398 3.34311
20.1 0.0788465 0.332087 0.94301 1.98804 3.34311
20.2 0.0788465 0.335097 0.94301 1.98804 3.34311
21.1 0.0788465 0.335097 1.02201 1.98804 3.34311
22 0.0788465 0.337491 1.02201 1.98804 3.5762
22.1 0.0788465 0.337491 1.02201 2.23044 3.5762
22.3 0.0808635 0.337491 1.02201 2.23044 3.5762
22.4 0.0807358 0.337491 1.09272 2.23044 3.5762
22.5 0.0807358 0.337491 1.11105 2.23044 3.5762
22.6 0.0807358 0.342568 1.11105 2.23044 3.5762
23.7 0.0807358 0.342568 1.18429 2.23044 3.5762
24.2 0.0807358 0.342568 1.18429 2.28897 3.94763
25.1 0.0807358 0.342568 1.23085 2.28897 3.94763
25.2 0.0807358 0.342568 1.23085 2.40284 3.94763
25.3 0.0807358 0.351992 1.23085 2.40284 3.94763
26.3 0.0826915 0.351992 1.23085 2.40284 3.94763
26.4 0.0826915 0.389017 1.23085 2.40284 3.94763
26.5 0.0826915 0.389017 1.23085 2.40284 4.24288
26.6 0.0826915 0.389017 1.26629 2.71369 4.24288
26.9 0.084907 0.389017 1.26629 2.71369 4.24288
28.2 0.084907 0.389017 1.31356 2.71369 4.24288
28.3 0.084907 0.463799 1.31356 2.71369 4.24288
29.2 0.084907 0.463799 1.31356 2.6561 4.54701
29.8 0.084907 0.463799 1.35997 2.6561 4.54701
30.9 0.0853373 0.463799 1.35997 2.6561 4.54701
31.5 0.0853373 0.463799 1.40465 2.6561 4.54701
31.7 0.0853373 0.570826 1.40465 2.6561 4.54701
32.1 0.0853373 0.570826 1.40465 2.83383 5.09674
32.2 0.085552 0.570826 1.40465 2.83383 5.09674
32.3 0.0848378 0.570826 1.40465 2.83383 5.09674
33.4 0.0848378 0.570826 1.49208 2.83383 5.09674
33.7 0.0848378 0.570826 1.48375 2.83383 5.09674
34.9 0.0856018 0.570826 1.48375 2.83383 5.09674
35.2 0.0856018 0.570826 1.48375 2.83383 11.0462
35.4 0.0856018 0.570826 1.48375 3.0288 11.0462
36.5 0.0864469 0.570826 1.48375 3.0288 11.0462
36.7 0.0864469 0.570826 1.55539 3.0288 11.0462
37.6 0.0873442 0.570826 1.55539 3.0288 11.0462
37.8 0.0873442 0.570826 1.55539 3.2045 11.0462
38 0.0873442 0.655757 1.55539 3.2045 11.0462
38.7 0.0879045 0.655757 1.55539 3.2045 6.70299
38.8 0.0879045 0.655757 1.55539 3.43911 6.70299
40.1 0.0879045 0.660901 1.55539 3.43911 6.70299
40.4 0.0879045 0.660901 1.65313 3.43911 6.70299
40.6 0.090892 0.660901 1.65313 3.43911 6.70299
42.5 0.090892 0.660901 1.65313 3.43911 7.72147
42.6 0.090892 0.660901 1.65313 3.61228 7.72147
43 0.0979697 0.660901 1.65313 3.61228 7.72147
43.7 0.0986813 0.660901 1.65313 3.61228 7.72147
